title,price,description,highlight
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5269,"ETB1,556.00Ex Tax: ETB1,556.00","Men’s
Leather Black Shine Shoe  -100%
pure leather-Lace-up, classic fit-Comfortable
rubber s..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5029,"ETB1,910.00Ex Tax: ETB1,661.00",Men's leather crocodile print short boots -Hand made  -Rubber sole -Style: Ankle Boot..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5031,"ETB1,910.00Ex Tax: ETB1,661.00",Men's velvet short boots -Hand made -Rubber sole -Style: Ankle Boots -Outer mate..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=1112,ETB268.00Ex Tax: ETB233.00,"Dark
  Brown Color Men's And Women's Leather Open-Toed  Shoe Size- -43, By Tofik Abduleje..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=1110,ETB486.00Ex Tax: ETB486.00,"Men's Leather Open-Toed 
 Size -39 to 43, By Tofik Abdulejelin.Made in Ethiopia..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=1084,ETB268.00Ex Tax: ETB233.00,"Men's Leather Open-Toed  ShoeColor - Black, WhiteSize -39 to 43 By Tofik Abdulejelin.Made ..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=1303,ETB268.00Ex Tax: ETB233.00,"Gray
  Color Men's Leather Open-Toed  Shoe
  Size -43Made in Ethiopia..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=1664,ETB670.00Ex Tax: ETB583.00,"Pure
  Leather Classic Hand Made Solid Brown men's shoes.Manufacturer- Tsige BeyeneSize- 39Col..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=1667,ETB603.00Ex Tax: ETB525.00,100% Pure Leather Comfortable  Classic Hand Made Black with chain  Men's Shoe.Manufacturer..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4949,"ETB2,214.00Ex Tax: ETB2,214.00","Welyu_ Men's Pure Leather Dress shoe-Rubber sole-100% Pure Leather-Lace-up, classic fit-well-designe..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4099,"ETB1,845.00Ex Tax: ETB1,605.00",Welyu_ Men's Pure Leather Slip-on Dress ShoeGenuine leather upper gives these men's shoes have ..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4934,"ETB2,214.00Ex Tax: ETB2,214.00","Welyu_ Men’s Velvet
Short BootsComfort design
all season Lace-up velvet
upper Flexible rubber
so..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4082,"ETB2,214.00Ex Tax: ETB1,926.00","Welyu _ ﻿Men's Leather Lace-up Shoe Classic genuine leather is
well designed stylish and ..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5986,"ETB2,214.00Ex Tax: ETB2,214.00","WELYU_Men's Genuine Leather
Shoe  ·        &..",new
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5759,"ETB1,665.00Ex Tax: ETB1,665.00","Weynshet _Men's genuine leather shoe 100% genuine leather, hand made, durable leather upper,quality ..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4110,"ETB2,214.00Ex Tax: ETB1,926.00","Genuine leather comfortable, classic and Attractive designed  flat men's shoes.-Classic&am..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5717,"ETB1,387.00Ex Tax: ETB1,387.00","Handmade. Pure leatherFlexible rubber soleIt has no laces, very convenient to take on and off...",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5824,ETB763.00Ex Tax: ETB664.00,"100%Pure Leather Comfort with our softest footwear ever. Crafted from premium
materials it provides..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4502,ETB638.00Ex Tax: ETB554.00,Yohannes – men’s shoes Made out of 100% genuine and sustainable leather. The breath-taking..,existing
